productcategory_id,material_id,outer_diameter,height,weight,heattreatmentcategory_id,heattreatment_temperatures,forming_temperatures,dimension,input_weight,workplace_id,product_id,mes_datetime,value
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:27:00,75.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:28:00,75.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:29:00,75.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:30:00,75.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:31:00,75.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:32:00,75.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:33:00,75.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:34:00,75.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:35:00,75.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:36:00,75.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:37:00,75.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:38:00,75.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:39:00,75.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:40:00,75.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:41:00,75.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:42:00,75.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:43:00,75.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:44:00,75.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:45:00,75.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:46:00,77.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:47:00,77.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:48:00,77.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:49:00,77.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:50:00,77.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:51:00,77.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:52:00,77.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:53:00,77.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:54:00,77.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:55:00,77.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:56:00,77.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:57:00,77.0
